料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
100000211;介面鈑( Mitsubishi 15" M830);Interface plate;;2t SPCC;RAL 7021;100000211
100000212;操作箱背蓋;Cover;;2t SPCC;RAL 7021;100000212
100000213;集塵器介面盒;;;2t SPCC;RAL 7021;100000213
100000214;直管;;;;;100000214
100000215;轉接頭;;;;;100000215
100000216;套管;;;;;100000216
100000217;彎管;;;;;100000217
100000218;支撐架;;;2t SPCC;RAL 7021;100000218
100000218A;支撐架;Bracket;;2t SPCC;RAL 7021;100000218A
100000219;第四軸歐規接頭介面鈑;Cover;;2t SPCC;RAL 9002;100000219
100000219A;第四軸歐規接頭介面鈑;Cover;;2t SPCC;RAL 9002;100000219A
100000220;介面鈑(Mitsubishi8.4");Interface plate;;2t SPCC;RAL 7021;100000220
100000221;側飾鈑;Cover;;2t SPCC;RAL 9002;100000221
100000222;介面鈑(Fanuc10.4");;;2t SPCC;RAL 7021;100000222
100000223;美背鈑金三;Cover;;;RAL 7021;100000223
100000224;儲氣桶支架;;;;;100000224
100000225;美背鈑金三(加高150);Cover;;2t SPCC;RAL 7021;100000225
100000226;介面鈑(Mitsubishi 10.4" M830);;;2t SPCC;RAL 7021;100000226
100000227;擴充功能面板(漢鐘);Opt Plate;427*80;2t 鋁板;;100000227
100000228;毛刷;;;;;100000228
100000229;毛刷;;;鋁+尼龍;;100000229
100000230;毛刷;Brush;;鋁+尼龍;;100000230
100000231;感應器固定鈑(HITACHI);Cover;;5t SPCC;RAL 9002;100000231
100000232;儲氣桶支架;;;2t SPCC;RAL 7021;100000232
100000233;氣壓缸遮蓋;Cover;;2t SPCC;RAL 9002;100000233
100000234;跑線遮蓋二;Cover;;2t SPCC;RAL 7021;100000234
100000235;美背鈑金一(加高150);Cover;;2t SPCC;RAL 293C;100000235
100000236;油氣潤滑系統介面鈑;Interface Plate;;2t SPCC;RAL 293C;100000236
100000237;第四軸介面鈑;Cover;;2t SPCC;RAL 9002;100000237
100000238;右護罩(加高150/功能箱預留);Right side cover;;2t SPCC;RAL 9002;100000238
100000239;螢幕介面鈑;Cover;;2t SPCC;RAL 9002;100000239
100000240;功能箱蓋鈑一;Cover;;2t SPCC;RAL 9002;100000240
100000241;功能箱蓋鈑二;Cover;;2t SPCC;RAL 9002;100000241
100000242;跑線遮蓋;Cover;;2t SPCC;RAL 9002;100000242
100000243;防護壓條座;Fixed;;2t 白鐵;SUS304亮面;100000243
100000244;防護壓條擋鈑;Cover;;2t 白鐵;SUS304亮面;100000244
100000245;前門上飾鈑;Cover;;2t SPCC;RAL 7021;100000245
100000246;操作箱(擴充功能);Operation box;;2t SPCC;RAL 7021;100000246
100000247;操作箱(擴充功能)背蓋;Cover;;2t SPCC;RAL 7021;100000247
100000248;轉軸封蓋;Cover;;2t SPCC;RAL 7021;100000248
100000249;旋轉支架;Fixed;;3t SPCC;RAL 7021;100000249
100000250;VMX螢幕介面鈑;Interface plate;;2t SPCC;RAL 7021;100000250
100000251;空壓介面鈑;Interface plate;;2t SPCC;RAL 9002;100000251
100000252;空壓介面鈑封蓋;Cover;;2t SPCC;RAL 9002;100000252
100000253;操作箱(Siemens 15")(828D);Operation box;;2t SPCC;RAL 7021;100000253
100000254;燈架基座;Fixed;;3t SPCC;RAL 9002;100000254
100000255;燈架上懸臂;Bracket;;1.6t SPCC;RAL 9002;100000255
100000256;燈架下懸臂;Bracket;;1.6t SPCC;RAL 9002;100000256
100000257;燈架懸臂連接座;Seat;;2t SPCC;RAL 9002;100000257
100000258;燈架橫桿;Bracket;;1.6t SPCC;RAL 9002;100000258
100000259;左護罩(加高150);Left side cover;;2t SPCC;RAL 9002;100000259
100000260;右護罩(加高150);Right side cover;;2t SPCC;RAL 9002;100000260
100000261;左前門(加高150);Left front door;;2t SPCC;RAL 7021;100000261
100000262;右前門(加高150);Right front door;;2t SPCC;RAL 7021;100000262
100000263;左前門防屑板(加高150);Chip Cover;;2t SPCC;RAL 7021;100000263
100000264;右前門防屑板(加高150);Chip Cover;;2t SPCC;RAL 7021;100000264
100000265;美背鈑金一(加高150);Cover;;2t SPCC;RAL 7021;100000265
100000266;美背鈑金二(加高150);Cover;;2t SPCC;RAL 7021;100000266
100000267;美背板金三(加高150);Cover;;2t SPCC;RAL 7021;100000267
100000268;左前門上防屑鈑;Chip Cover;;2t SPCC;RAL 7021;100000268
