料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
ES-70MVA-C2-2B4522TKH-12;PV3216/M70MVA/SJ2B4522TKH;;三菱M70V A包控制器/10.4"全鍵-三軸HF703S/453S/703BS;5tSPCC;;ES-70MVA-C2-2B4522TKH-12
ES-70MVA-C2-D11_10K-05H;CPV900/M70MVA/ SJ-D11/100-01;;三菱M70V A包控制器/10.4"-三軸HF204S MDS-DM2-SPV3-16080;5tSPCC;;ES-70MVA-C2-D11_10K-05H
ES-70MVA-C2-D75_12K-07K;CPV750/M70MVA/SJ-D7.5/120-01;;三菱M70V A包控制器/10.4"-HF154S/154S/204BS/MDS-DM-SPV3F-10080;5tSPCC;;ES-70MVA-C2-D75_12K-07K
ES-70MVA-C2-V1801Z-10A;PV2216/M70MVA/SJ-V18.5-01ZT;;三菱M70V A包控制器/10.4"-HF453S*2/HF703BS*1;5tSPCC;;ES-70MVA-C2-V1801Z-10A
ES-70MVA-C2-V1801Z-10C;PV2216/M70MVA/SJ-V18.5-01ZT;;三菱M70V A包控制器/10.4"全鍵-HF703S/453/453S;5tSPCC;;ES-70MVA-C2-V1801Z-10C
ES-70MVA-C2-V1801Z-12;PV3216/M70MVA/SJ-V18.5-01ZT;;三菱M70V A包控制器/10.4"-HF703S*1/HF453S*1/HF703BS*1;5tSPCC;;ES-70MVA-C2-V1801Z-12
ES-70MVA-D11_10K-05E;CPV900/M70MVA/SJ-D11/100-01;;三菱M70V A包控制器/8.4"-三軸HF204S;5tSPCC;;ES-70MVA-D11_10K-05E
ES-70MVA-D11_10K-05H;CPV900/M70MVA/ SJ-D11/100-01;;三菱M70V A包控制器/8.4"-三軸HF204S MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-D11_10K-05H
ES-70MVA-D11_10K-05J;CNV850/M70MVA/SJ-D11/100-01;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-D11_10K-05J
ES-70MVA-D11_10K-06D;CPV1300/M70MVA/SJ-D11/100-01;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-D11_10K-06D
ES-70MVA-D11_10K-07L;CPV750/M70MVA/SJ-D11/100-01;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-D11_10K-07L
ES-70MVA-D11_8K-05E;CPV900/M70MVA/SJ-D11/80-01;;三菱M70V A包控制器/8.4"-三軸HF204S;5tSPCC;;ES-70MVA-D11_8K-05E
ES-70MVA-D11_8K-05F;CPV900/M70MVA/SJ-D11/80-01;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF354S;5tSPCC;;ES-70MVA-D11_8K-05F
ES-70MVA-D11_8K-05H;CPV900/M70MVA/ SJ-D11/80-01;;三菱M70V A包控制器/8.4"-三軸HF204S MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-D11_8K-05H
ES-70MVA-D11_8K-05J;CNV850/M70MVA/SJ-D11/80-01;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-D11_8K-05J
ES-70MVA-D11_8K-05O;CNV850/M70MVA/SJ-D11/80-01/A51;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/A51/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-D11_8K-05O
ES-70MVA-D11_8K-06D;CPV1300/M70MVA/SJ-D11_80-01-C;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-D11_8K-06D
ES-70MVA-D11_8K-06H;CPV1300/M70MVA/SJ-D11_80-01-C;;三菱M70V A包控制器/8.4"-三軸HF354S/MDS-DM-SPV3F-200160;5tSPCC;;ES-70MVA-D11_8K-06H
ES-70MVA-D11_8K-07L;CPV750/M70MVA/SJ-D11/80-01-C;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-D11_8K-07L
ES-70MVA-D75_12K-07K;CPV750/M70MVA/SJ-D7.5/120-01;;三菱M70V A包控制器/8.4"-HF154S/154S/204BS/MDS-DM-SPV3F-10080;5tSPCC;;ES-70MVA-D75_12K-07K
ES-70MVA-D75_12K-07L;SMART/M70MVA/SJ-D7.5/120-01;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3F-10080;5tSPCC;;ES-70MVA-D75_12K-07L
ES-70MVA-DG11_10K-05H;CPV900/M70MVA/ SJ-DG11/100-03T;;三菱M70V A包控制器/8.4"-三軸HF204S MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-DG11_10K-05H
ES-70MVA-DG11_10K-05J;CNV850/M70MVA/SJ-D11/100-03T;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-DG11_10K-05J
ES-70MVA-DG11_10K-06H;CPV1300/M70MVA/SJ-DG11_100-03T;;三菱M70V A包控制器/8.4"-三軸HF354S/MDS-DM2-SPV3F-200160;5tSPCC;;ES-70MVA-DG11_10K-06H
ES-70MVA-DL55_20K-07L;SMART/M70MVA/ SJ-DL5.5/200-01T;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-DL55_20K-07L
ES-70MVA-NOSP-06J-01;CPV1050B/M70MVA/無主軸馬達;;三菱M70V A包控制器/8.4"-HF303S*3 無SJ-V22-06ZT,SP-240,AL18.5K;5tSPCC;;ES-70MVA-NOSP-06J-01
ES-70MVA-NOSP-07G;CPV750/M70MVA/無主軸馬達;;三菱M70V A包控制器/8.4"-HF154T/154T/204BS 無主軸馬達 數格主軸HCS-120m;5tSPCC;;ES-70MVA-NOSP-07G
ES-70MVA-NOSP-07K;CPV750/M70MVA/無主軸馬達;;三菱M70V A包控制器/8.4"-HF154S/154S/204BS 無主軸馬達 數格主軸HCS-120m;5tSPCC;;ES-70MVA-NOSP-07K
ES-70MVA-NOSP-07N;CPV750/M70MVA/無主軸馬達;;三菱M70V A包控制器/8.4"-HF154S/154S/204BS-A51 無主軸馬達 羅羿ATE-AC90/100/4);5tSPCC;;ES-70MVA-NOSP-07N
ES-70MVA-V1101Z-05E;CPV900/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-三軸HF204S;5tSPCC;;ES-70MVA-V1101Z-05E
ES-70MVA-V1101Z-05F;CPV900/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-HF204S HF204S HF354S;5tSPCC;;ES-70MVA-V1101Z-05F
ES-70MVA-V1101Z-05H;CPV900/M70MVA/SJ-V11-01ZT;;三菱M70V A包控制器/8.4"-三軸HF204S MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101Z-05H
ES-70MVA-V1101Z-05I;CNV850/M70MVA/SJ-V11-01ZT;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS;5tSPCC;;ES-70MVA-V1101Z-05I
ES-70MVA-V1101Z-05K;CPV900/M70MVA/SJ-V11-01ZT;;三菱M70V A包控制器/8.4"-HF204S HF204S HF303S MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101Z-05K
ES-70MVA-V1101Z-06D;CPV1300/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V1101Z-06D
ES-70MVA-V1101Z-07E;CPV750/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-HF104T/154T/354BS;5tSPCC;;ES-70MVA-V1101Z-07E
ES-70MVA-V1101Z-07H;CPV750/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-HF154T/154T/354BS;5tSPCC;;ES-70MVA-V1101Z-07H
ES-70MVA-V1101Z-07J;CPV750/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-HF154T/154T/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101Z-07J
ES-70MVA-V1101Z-07L;CPV750/M70MVA/SJV11-01ZT;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101Z-07L
ES-70MVA-V1101ZS02-05E;CPV900/M70MVA/SJ-V11-01ZT-S02(F);;三菱M70V A包控制器/8.4"-三軸HF204S;5tSPCC;;ES-70MVA-V1101ZS02-05E
ES-70MVA-V1101ZS02-05H;CPV900/M70MVA/SJ-V11-01ZT-S02(F);;三菱M70V A包控制器/8.4"-三軸HF204S/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101ZS02-05H
ES-70MVA-V1101ZS02-05J;CNV850/M70MVA/SJ-V11-01ZT-S02;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-V1101ZS02-05J
ES-70MVA-V1101ZS02-06D;CPV1300/M70MVA/SJV11-01ZT-S02;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V1101ZS02-06D
ES-70MVA-V1101ZS02-07E;CPV750/M70MVA/SJ-V11-01ZT-S02;;三菱M70V A包控制器/8.4"-HF104T/154T/354BS;5tSPCC;;ES-70MVA-V1101ZS02-07E
ES-70MVA-V1101ZS02-07H;CPV750/M70MVA/SJ-V11-01ZT-S02;;三菱M70V A包控制器/8.4"-HF154T/154T/354BS;5tSPCC;;ES-70MVA-V1101ZS02-07H
ES-70MVA-V1101ZS02-07L;CPV750/M70MVA/SJ-V11-01ZT-S02;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V1101ZS02-07L
ES-70MVA-V1108ZS02-05J;CNV850/M70MVA/SJ-V11-08ZT-S02;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-20080;5tSPCC;;ES-70MVA-V1108ZS02-05J
ES-70MVA-V1108ZS02-06E;CQV1100/M70MVA/SJ-V11-08ZT-S02;;三菱M70V A包控制器/8.4"-HF354S*2,354BS*1/MDS-DM-SPV3F-200120;5tSPCC;;ES-70MVA-V1108ZS02-06E
ES-70MVA-V1108ZS02-06E1;CQV1100/M70MVA/SJ-V11-08ZT-S02/A51;;三菱M70V A包控制器/8.4"-HF354S*2,354BS*1/MDS-DM-SPV3F-200120;5tSPCC;;ES-70MVA-V1108ZS02-06E1
ES-70MVA-V1108ZS02-06H;CPV1300/M70MVA/SJ-V11-08ZT-S02;;三菱M70V A包控制器/8.4"-HF354S*3/MDS-DM-SPV3F-200120;5tSPCC;;ES-70MVA-V1108ZS02-06H
ES-70MVA-V1501Z-05F;CPV900/M70MVA/SJV15-01ZT;;三菱M70V A包控制器/8.4"-HF204S*2/HF354*1;5tSPCC;;ES-70MVA-V1501Z-05F
ES-70MVA-V1501Z-05J;CNV850/M70MVA/SJ-V15-01ZT;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-20080;5tSPCC;;ES-70MVA-V1501Z-05J
ES-70MVA-V1501Z-05L;CPV900/M70MVA/SJ-V15-01ZT;;三菱M70V A包控制器/8.4"-HF204S*2/HF354*1/MDS-DM-SPV3F-200120;5tSPCC;;ES-70MVA-V1501Z-05L
ES-70MVA-V1501Z-06D;CPV1400B/M70MVA/SJV15-01ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V1501Z-06D
ES-70MVA-V1501Z-06H;CPV1400B/M70MVA/SJV15-01ZT;;三菱M70V A包控制器/8.4"-三軸HF354S/MDS-DM-SPV3F-200120;5tSPCC;;ES-70MVA-V1501Z-06H
ES-70MVA-V1801Z-06D;CPV1400B/M70MVA/SJV18.5-01ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V1801Z-06D
ES-70MVA-V1804Z-06E;CQV1100/M70MVA/SJV18.5-04ZT;;三菱M70V A包控制器/8.4"-HF354S*2 HE354BS*1;5tSPCC;;ES-70MVA-V1804Z-06E
ES-70MVA-V2201-06D;CQV900/M70MVA/SJV22-01ZT-S01;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V2201-06D
ES-70MVA-V2201Z-06D;CQV900/M70MVA/SJV22-01ZT-S01;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V2201Z-06D
ES-70MVA-V2201Z-06E;CQV1100/M70MVA/SJ-V22-01ZT-S01;;三菱M70V A包控制器/8.4"-HF354S*2 HE354BS*1;5tSPCC;;ES-70MVA-V2201Z-06E
ES-70MVA-V2205Z-05E;M70MVA/SJ-V22-05ZT(拆組裝);;三菱M70V A包控制器/8.4"-三軸HF204S;5tSPCC;;ES-70MVA-V2205Z-05E
ES-70MVA-V2205Z-06D;CPV1400B/M70MVA/SJ-V22-05ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V2205Z-06D
ES-70MVA-V2206Z-06D;CQV900/M70MVA/SJV22-06ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-V2206Z-06D
ES-70MVA-V2206Z-06E;CQV900/M70MVA/SJV22-06ZT;;三菱M70V A包控制器/8.4"-HF354S*2,354BS*1;5tSPCC;;ES-70MVA-V2206Z-06E
ES-70MVA-V2206Z-06F;CQV1300/M70MVA/SJV22-06ZT;;三菱M70V A包控制器/8.4"-HF354S*2,703BS*1;5tSPCC;;ES-70MVA-V2206Z-06F
ES-70MVA-V2206Z-06J;CPV1050B/M70MVA/SJ-V22-06ZT(F);;三菱M70V A包控制器/8.4"-HF303S*3;5tSPCC;;ES-70MVA-V2206Z-06J
ES-70MVA-V7501Z-07D;CPV750/M70MVA/SJV7.5-01ZT;;三菱M70V A包控制器/8.4"-HF104T/154T/204BS;5tSPCC;;ES-70MVA-V7501Z-07D
ES-70MVA-V7501Z-07G;CPV750/M70MVA/SJV7.5-01ZT;;三菱M70V A包控制器/8.4"-HF154T/154T/204BS;5tSPCC;;ES-70MVA-V7501Z-07G
ES-70MVA-V7501Z-07I;CPV750/M70MVA/SJV7.5-01ZT;;三菱M70V A包控制器/8.4"-HF154T/154T/204BS/MDS-DM-SPV3-10080;5tSPCC;;ES-70MVA-V7501Z-07I
ES-70MVA-V7501Z-07K;CPV750/M70MVA/SJV7.5-01ZT;;三菱M70V A包控制器/8.4"-HF154S/154S/204BS/MDS-DM-SPV3-10080;5tSPCC;;ES-70MVA-V7501Z-07K
ES-70MVA-V7501Z-07M;CPV750/M70MVA/SJV7.5-01ZT;;三菱M70V A包控制器/8.4"-HF154S/154S/204BS/SVJ3;5tSPCC;;ES-70MVA-V7501Z-07M
ES-70MVA-V7514Z-04G;SMART/M70MVA/SJ-V7.5-14ZT-S02(F);;三菱M70V A包控制器/8.4"-HF154T/154T/303BS;5tSPCC;;ES-70MVA-V7514Z-04G
ES-70MVA-V7514Z-07L;SMART/M70MVA/SJ-V7.5-14ZT-S02(F);;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-V7514Z-07L
ES-70MVA-VK1528FZ-06J;CPV1050B/M70MVA/SJ-VK15-28FZT(F);;三菱M70V A包控制器/8.4"-HF303S*3;5tSPCC;;ES-70MVA-VK1528FZ-06J
ES-70MVA-VK2609FZ-06E;CPV900/M70MVA/SJ-VK26-09FZT(F);;三菱M70V A包控制器/8.4"-HF354S*2 HF354BS*1;5tSPCC;;ES-70MVA-VK2609FZ-06E
ES-70MVA-VK2609FZ-06G;CPV900/M70MVA/SJ-VK26-09FZT(F);;三菱M70V A包控制器/8.4"-HF303S*2 HF354BS*1;5tSPCC;;ES-70MVA-VK2609FZ-06G
ES-70MVA-VK2609Z-06E;CPV900/M70MVA/SJ-VK26-09ZT(F);;三菱M70V A包控制器/8.4"-HF354S*2 HF354BS*1;5tSPCC;;ES-70MVA-VK2609Z-06E
ES-70MVA-VK3016FZ-06F;CQV1300/M70MVA/SJ-VK30-16FZT(F);;三菱M70V A包控制器/8.4"-HF354S*2,703BS*1;5tSPCC;;ES-70MVA-VK3016FZ-06F
ES-70MVA-VKS2609Z-06E;CMV900/M70MVA/SJVKS26-09ZT-S05;;三菱M70V A包控制器/8.4"-三軸HF354S*2 HF354BS*1;5tSPCC;;ES-70MVA-VKS2609Z-06E
ES-70MVA-VKS3016Z-06E;CQV1300/M70MVA/SJ-VKS30-16ZT-S03(F);;三菱M70V A包控制器/8.4"-HF354S*2,354BS*1;5tSPCC;;ES-70MVA-VKS3016Z-06E
ES-70MVA-VKS3016Z-06F;CQV1300/M70MVA/SJ-VKS30-16ZT-S03(F);;三菱M70V A包控制器/8.4"-HF354S*2,703BS*1;5tSPCC;;ES-70MVA-VKS3016Z-06F
ES-70MVA-VL1107Z-04E;SMART/M70MVA/SJVL11-07ZT;;三菱M70V A包控制器/8.4"-HF154T/154T/354BS;5tSPCC;;ES-70MVA-VL1107Z-04E
ES-70MVA-VL1107Z-07L;SMART/M70MVA/SJVL11-07ZT;;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-VL1107Z-07L
ES-70MVA-VL1525FZ-07L;SMART/M70MVA/SJ-VL15-25FZT(F);;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3F-20080;5tSPCC;;ES-70MVA-VL1525FZ-07L
ES-70MVA-VS1108Z-06D;CPV1300/M70MVA/SJ-VS11-08ZT;;三菱M70V A包控制器/8.4"-三軸HF354S;5tSPCC;;ES-70MVA-VS1108Z-06D
ES-70MVA-VS1108Z-07L;SMART/M70MVA/SJ-VS11-08ZT(F);;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-20080;5tSPCC;;ES-70MVA-VS1108Z-07L
ES-70MVA-VS7503Z-04G;SMART/M70MVA/SJ-VS7.5-03ZT-S04(F);;三菱M70V A包控制器/8.4"-HF154T/154T/303BS;5tSPCC;;ES-70MVA-VS7503Z-04G
ES-70MVA-VS7503Z-07L;SMART/M70MVA/SJ-VS7.5-03ZT-S04(F);;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-VS7503Z-07L
ES-70MVA-VS7514FZ-05J;CNV850/M70MVA/SJ-VS7.5-14FZT(F);;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;5tSPCC;;ES-70MVA-VS7514FZ-05J
ES-70MVA-VS7514FZ-05M;CNV850/M70MVA/SJ-VS7.5-14FZT(F)/K牌;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080/MDS-D-CV-300/SP-320;5tSPCC;;ES-70MVA-VS7514FZ-05M
ES-70MVA-VS7514FZ-05N;CNV850/M70MVA/SJ-VS7.5-14FZT(F)/R牌;;三菱M70V A包控制器/8.4"-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080/MDS-DH-CV-370/SP-200/PFU/R-UNIT-6;5tSPCC;;ES-70MVA-VS7514FZ-05N
ES-70MVA-VS7514FZ-07L;SMART/M70MVA/SJ-VS7.5-14FZT(F);;三菱M70V A包控制器/8.4"-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-70MVA-VS7514FZ-07L
ES-70VLB-D75_10K-01;CPL106/M70V-L TYPE B/SJ-D7.5/100-01-C;;三菱M70V-L B包控制器/8.4"-HF154S/154BS/MDS-DM-SPV2-10080;5tSPCC;;ES-70VLB-D75_10K-01
ES-70VLB-V1109Z_V3701ZS04-01C;CPL10MC/M70V-L TYPE B/SJ-V11-09ZT(F)/SJ-V3.7-01ZT-S04(F);;三菱M70V-L B包控制器/8.4"-HF154S/154BS/MDS-D-SVJ3-20NA*2/SP2-16080/CV-110;5tSPCC;;ES-70VLB-V1109Z_V3701ZS04-01C
ES-70VLB-V1501Z-02A;CPL208/M70V-L TYPE B/SJ-V15-01ZT;;三菱M70V-L B包控制器/8.4"-HF303S/303BS/MDS-DM-SPV2-20080;5tSPCC;;ES-70VLB-V1501Z-02A
ES-720VS-2B4522TKH-10C;PV2216/720VS-M/SJ2B4522TKH;;三菱720VS-M控制器/10.4"全鍵-三軸HF703S/453S/453BS;5tSPCC;;ES-720VS-2B4522TKH-10C
ES-720VS-2B4522TKH-12;PV3216/720VS-M/SJ2B4522TKH;;三菱720VS-M控制器/10.4"全鍵-三軸HF703S/453S/703BS;5tSPCC;;ES-720VS-2B4522TKH-12
ES-720VS-A1C6-D11_10K-16;U255C/720VS/SJ-D11_100-01;;三菱M720VS控制器/15"-HF204S*2,303BS*1,154T*1,104T*1;5tSPCC;;ES-720VS-A1C6-D11_10K-16
ES-720VS-A1C6-V1108ZS02-16;U255C/720VS/SJ-V11-08ZT-S02;;三菱M720VS控制器/15"-HF204S*2,303BS*1,154T*1,104T*1;5tSPCC;;ES-720VS-A1C6-V1108ZS02-16
ES-720VS-A1C6-VK2609FZ-16;U255C/720VS/SJ-VK26-09FZT;;三菱M720VS控制器/15"-HF204S*2,303BS*1,154T*1,104T*1;5tSPCC;;ES-720VS-A1C6-VK2609FZ-16
ES-720VS-C2-2B4522TKH-12;PV3216/720VS-M/SJ2B4522TKH;;三菱720VS-M控制器/10.4"-HF703S/453S/703BS;5tSPCC;;ES-720VS-C2-2B4522TKH-12
ES-720VS-C6-DG11_10K-05J;CNV850/M720VS-M/SJ-DG11/100-03T;;三菱M720VS-M控制器/15"全鍵縱置(KB047)-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;;;ES-720VS-C6-DG11_10K-05J
ES-720VS-C6-V2206Z-06E;CPV1050B/M720VS/SJ-V22-06ZT(F);;三菱M720VS-M控制器/15"全鍵縱置(KB047)-HF354S*2 HF354BS*1;5tSPCC;;ES-720VS-C6-V2206Z-06E
ES-720VS-C6-V2206Z-06J;CPV1050B/M720VS/SJ-V22-06ZT(F);;三菱M70V A包控制器/15"-HF303S*3;5tSPCC;;ES-720VS-C6-V2206Z-06J
ES-720VS-D11_10K-05J;CNV850/M720VS-M/SJ-D11/100-01;;三菱M720VS-M控制器/10.4"全鍵-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;;;ES-720VS-D11_10K-05J
ES-720VS-D11_8K-06D;CPV1300/720VS-M/SJ-D11_80-01-C;;三菱720VS-M控制器/10.4"全鍵-三軸HF354S;5tSPCC;;ES-720VS-D11_8K-06D
ES-720VS-D11_8K-06H;CPV1300/720VS-M/SJ-D11_80-01-C;;三菱720VS-M控制器/10.4"全鍵-三軸HF354S/MDS-DM-SPV3F-200120;5tSPCC;;ES-720VS-D11_8K-06H
ES-720VS-D75_12K-07K;CPV750/720VS-M/SJ-D7.5_120-01;;三菱720VS-M控制器/10.4"全鍵縱置-HF154S/154S/204BS;5tSPCC;;ES-720VS-D75_12K-07K
ES-720VS-V1101Z-05E;CPV900/720VS-M/SJV11-01ZT;;三菱720VS-M控制器/10.4"全鍵-三軸HF204S-A48;5tSPCC;;ES-720VS-V1101Z-05E
ES-720VS-V1101Z-05G;CPV900/720VS-M/SJV11-01ZT;;三菱720VS-M控制器/10.4"全鍵-三軸HF204S-A51;5tSPCC;;ES-720VS-V1101Z-05G
ES-720VS-V1101Z-07H;CPV750/720VS-M/SJV11-01ZT;;三菱720VS-M控制器/10.4"全鍵縱置-HF154T/154T/354BS;5tSPCC;;ES-720VS-V1101Z-07H
ES-720VS-V1101Z-07L;CPV750/720VS-M/SJV11-01ZT;;三菱720VS-M控制器/10.4"全鍵縱置-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-720VS-V1101Z-07L
ES-720VS-V1101ZS02-05E;CPV900/720VS-M/SJV11-01ZT-S02;;三菱720VS-M控制器/10.4"全鍵-三軸HF204S-A48-主軸SJ-V11-01ZT-S02 10000RPM;5tSPCC;;ES-720VS-V1101ZS02-05E
ES-720VS-V1101ZS02-05G;CPV900/720VS-M/SJV11-01ZT;;三菱720VS-M控制器/10.4"全鍵-三軸HF204S-A51-主軸SJ-V11-S02 10000RPM;5tSPCC;;ES-720VS-V1101ZS02-05G
ES-720VS-V1108ZS02-05J;CNV850/M720VS-M/SJ-V11-08ZT-S02;;三菱M720VS-M控制器/10.4"全鍵-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-20080;;;ES-720VS-V1108ZS02-05J
ES-720VS-V1801Z-10C;PV2216/720VS-M/SJ-V18.5-01ZT;;三菱720VS-M控制器/10.4"全鍵-HF703S/453S/453BS;5tSPCC;;ES-720VS-V1801Z-10C
ES-720VS-V1801Z-12;PV3216/720VS-M/SJ-V18.5-01ZT;;三菱720VS-M控制器/10.4"全鍵-HF703S*1/HF453S*1/HF703BS*1;5tSPCC;;ES-720VS-V1801Z-12
ES-720VS-V2206Z-06E;CQV900/720VS/SJ-V22-06ZT;;三菱M720VS控制器/10.4"-HF354S*2,354BS*1;5tSPCC;;ES-720VS-V2206Z-06E
ES-720VS-V2206Z-06F;CQV900/720VS/SJ-V22-06ZT;;三菱M720VS控制器/10.4"-HF354S*2,703BS*1;5tSPCC;;ES-720VS-V2206Z-06F
ES-720VS-V7501Z-07G;CPV750/720VS-M/SJV7.5-01ZT;;三菱720VS-M控制器/10.4"全鍵縱置-HF154T/154T/204BS;5tSPCC;;ES-720VS-V7501Z-07G
ES-720VS-V7501Z-07K;CPV750/720VS-M/SJV7.5-01ZT;;三菱720VS-M控制器/10.4"全鍵縱置-HF154S/154S/204BS;5tSPCC;;ES-720VS-V7501Z-07K
ES-720VS-V7514Z-04G;CPV-750/720VS/SJ-V7.5-14ZT-S02(F);;三菱M720VS-M 控制器/10.4"全鍵縱置-HF154T/154T/303BS;5tSPCC;;ES-720VS-V7514Z-04G
ES-720VS-V7514Z-07L;CPV-750/720VS/SJ-V7.5-14ZT-S02(F);;三菱M720VS-M 控制器/10.4"全鍵縱置-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-720VS-V7514Z-07L
ES-720VS-VK2609FZ-06F;CQV900/720VS/SJ-VK26-09FZT;;三菱M720VS控制器/10.4"-HF354S*2,703BS*1;5tSPCC;;ES-720VS-VK2609FZ-06F
ES-720VS-VK3016FZ-06F;CQV900/720VS/SJ-VK30-16FZT;;三菱M720VS控制器/10.4"-HF354S*2,703BS*1;5tSPCC;;ES-720VS-VK3016FZ-06F
ES-720VS-VK3016FZ-06I;CQV900/720VS/SJ-VK30-16FZT/A51;;三菱M720VS控制器/10.4"-HF354S-A51*2,703BS-A51*1;5tSPCC;;ES-720VS-VK3016FZ-06I
ES-720VS-VKS2609FZ-06F;CQV900/720VS/SJ-VKS26-09FZT;;三菱M720VS控制器/10.4"-HF354S*2,703BS*1;5tSPCC;;ES-720VS-VKS2609FZ-06F
ES-720VS-VL1107Z-07L;SMART/720VS/SJ-VL11-07ZT;;三菱M720VS-M 控制器/10.4"全鍵縱置-HF154S/154S/303BS/MDS-DM-SPV3-16080;5tSPCC;;ES-720VS-VL1107Z-07L
ES-720VS-VS1108Z-07L;SMART/720VS/SJ-VS11-08ZT(F);;三菱M720VS-M 控制器/10.4"全鍵縱置-HF154S/154S/303BS/MDS-DM-SPV3-20080;5tSPCC;;ES-720VS-VS1108Z-07L
ES-730VS-C6-DG11_10K-05J;CNV850/M730VS-M/SJ-DG11/100-03T;;三菱M730VS-M控制器/15"全鍵縱置(KB047)-HF204S/HF204S/HF303BS/MDS-DM-SPV3F-16080;;;ES-730VS-C6-DG11_10K-05J
